AGE,FULL-TIME,PART-TIME,TOTAL,SEX,YEAR
15 - 19,772,200,324.136,Male,2023
20 - 24,1177.575,577.694,961.276,Male,2023
25 - 34,1600,750,1500,Male,2023
35 - 44,1999.135,855.011,1900,Male,2023
45 - 54,1950,830.165,1850,Male,2023
55 - 59,1859,971.811,1750,Male,2023
60 - 64,1672.257,800,1500,Male,2023
65+,1551.349,600,1200,Male,2023
15 - 19,818.069,184.94,234.057,Female,2023
20 - 24,1194.19,600,850,Female,2023
25 - 34,1500,750,1249.939,Female,2023
35 - 44,1600,844.004,1283.62,Female,2023
45 - 54,1650,850,1342,Female,2023
55 - 59,1602.187,750,1250,Female,2023
60 - 64,1400,800,1115.515,Female,2023
65+,1514.858,596.288,876.903,Female,2023
15 - 19,750,200,312,Male,2022
20 - 24,1100,500,900,Male,2022
25 - 34,1499.241,700,1400,Male,2022
35 - 44,1841,795.914,1750,Male,2022
45 - 54,1911.072,772.226,1800,Male,2022
55 - 59,1841,797.71,1726,Male,2022
60 - 64,1598.453,850,1479.788,Male,2022
65+,1547.969,623.725,1183.103,Male,2022
15 - 19,791.645,201.307,250,Female,2022
20 - 24,1099,525.187,833.551,Female,2022
25 - 34,1400,724.021,1200,Female,2022
35 - 44,1560.01,800,1250,Female,2022
45 - 54,1575.1,750.072,1248,Female,2022
55 - 59,1526.906,794.271,1155.087,Female,2022
60 - 64,1393.008,750,1000,Female,2022
65+,1544.532,500,700,Female,2022
15 - 19,722.961,180,320,Male,2021
20 - 24,1046.283,457.277,840,Male,2021
25 - 34,1400,600,1300,Male,2021
35 - 44,1841,790.696,1750,Male,2021
45 - 54,1821,877.331,1726,Male,2021
55 - 59,1800,605.234,1677.615,Male,2021
60 - 64,1585.728,750,1400,Male,2021
65+,1451.118,577.562,1124.397,Male,2021
15 - 19,770.283,180,209.747,Female,2021
20 - 24,1017.008,500,769.864,Female,2021
25 - 34,1300,678.167,1100,Female,2021
35 - 44,1538,750,1193.789,Female,2021
45 - 54,1509.139,745.296,1200,Female,2021
55 - 59,1400,728.807,1116.294,Female,2021
60 - 64,1477.089,690,976.972,Female,2021
65+,1400,550,863.127,Female,2021
15 - 19,700,191.619,300,Male,2020
20 - 24,977.664,500,800,Male,2020
25 - 34,1367.798,678.203,1265,Male,2020
35 - 44,1700,750.173,1618,Male,2020
45 - 54,1737.998,750,1634,Male,2020
55 - 59,1650,750,1516.71,Male,2020
60 - 64,1569.704,750,1404.545,Male,2020
65+,1491.489,678.059,1000,Male,2020
15 - 19,749.29,199,217.579,Female,2020
20 - 24,1000,600,750,Female,2020
25 - 34,1325,750,1082,Female,2020
35 - 44,1500,750,1104.434,Female,2020
45 - 54,1468.1,750,1127.556,Female,2020
55 - 59,1356.843,750,1050,Female,2020
60 - 64,1347.561,750,968.161,Female,2020
65+,1401.249,700,808.235,Female,2020
